capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds
L1,D1,0,0.2902097902097902,0.15625,0.96
L1,D1,1,0.5419580419580419,0.3125,0.16
L1,D1,2,0.2902097902097902,0.265625,0.18
L1,D2,0,0.2421798631476051,0.25,0.89
L1,D2,1,0.21886514369933677,0.166015625,0.84
L1,D2,2,0.125,0.275390625,0.81
L1,D3,0,0.01758355815204741,0.0,6.57
L1,D3,1,0.011720359546446502,0.0,6.32
L1,D3,2,0.007831170966545451,0.0,6.18
L2,D1,0,0.2902097902097902,0.140625,0.21
L2,D1,1,0.16783216783216784,0.0625,0.18
L2,D1,2,0.08391608391608392,0.1875,0.18
L2,D2,0,0.0,0.0,0.84
L2,D2,1,0.0,0.0,0.82
L2,D2,2,0.0,0.0,0.87
L2,D3,0,0.0,0.0,6.84
L2,D3,1,0.0,0.0,6.59
L2,D3,2,0.0,0.0,6.59
L3,D1,0,0.16783216783216784,0.03125,0.63
L3,D1,1,0.08391608391608392,0.0625,0.53
L3,D1,2,0.16783216783216784,0.234375,0.54
L3,D2,0,0.0,0.0,2.15
L3,D2,1,0.0,0.0,2.08
L3,D2,2,0.0,0.0,2.18
L3,D3,0,0.0,0.0,16.24
L3,D3,1,0.0,0.0,16.37
L3,D3,2,0.0,0.0,16.23
