capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds,acer_cross_domain,apcer_cross_domain,bpcer_cross_domain,threshold
L4,D1,0,0.08333333333333333,0.109375,2.47,0.3671875,0.0,0.734375,0.019801119342446327
L4,D1,1,0.08333333333333333,0.140625,1.53,0.2265625,0.046875,0.40625,0.97439044713974
L4,D1,2,0.4166666666666667,0.203125,1.66,0.1796875,0.109375,0.25,0.0014718081802129745
L4,D2,0,0.09375,0.05859375,7.30,0.0703125,0.0234375,0.1171875,0.15580424666404724
L4,D2,1,0.03125,0.09375,7.37,0.095703125,0.125,0.06640625,0.3936605453491211
L4,D2,2,0.046875,0.10546875,7.34,0.162109375,0.314453125,0.009765625,0.9623050093650818
L4,D3,0,0.099609375,0.049560546875,59.27,0.0460205078125,0.009521484375,0.08251953125,0.5854195356369019
L4,D3,1,0.0,0.076416015625,59.37,0.0941162109375,0.1337890625,0.054443359375,0.9818897247314453
L4,D3,2,0.216796875,0.055419921875,59.14,0.04833984375,0.0244140625,0.072265625,0.9202732443809509
