capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds,acer_cross_domain,apcer_cross_domain,bpcer_cross_domain,threshold
L4,D1,0,0.16666666666666666,0.15625,2.49,0.390625,0.0,0.78125,0.37910929322242737
L4,D1,1,0.08333333333333333,0.203125,1.58,0.2372532894736842,0.05263157894736842,0.421875,0.5069687962532043
L4,D1,2,0.16666666666666666,0.203125,1.56,0.4629934210526316,0.8947368421052632,0.03125,0.9999483823776245
L4,D2,0,0.234375,0.107421875,7.32,0.34203506097560976,0.012195121951219513,0.671875,0.008423207327723503
L4,D2,1,0.109375,0.12109375,7.21,0.18471295646067415,0.08426966292134831,0.28515625,0.26047343015670776
L4,D2,2,0.09375,0.06640625,7.30,0.08324599847560976,0.012195121951219513,0.154296875,0.2778119444847107
L4,D3,0,0.060546875,0.048828125,60.11,0.0846149657295539,0.11747211895910781,0.0517578125,0.998207688331604
L4,D3,1,0.029296875,0.07958984375,59.45,0.1503427952195632,0.2066914498141264,0.093994140625,0.16249790787696838
L4,D3,2,0.064453125,0.047119140625,59.57,0.09772577108503717,0.15687732342007435,0.03857421875,0.9946478009223938
