capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds,acer_cross_domain,apcer_cross_domain,bpcer_cross_domain,threshold
L4,D1,0,0.08333333333333333,0.140625,2.49,0.29769736842105265,0.15789473684210525,0.4375,0.7818045616149902
L4,D1,1,0.5833333333333334,0.40625,1.65,0.4645432692307692,0.038461538461538464,0.890625,0.0001442564243916422
L4,D1,2,0.3333333333333333,0.265625,1.67,0.46875,0.0,0.9375,0.0018607521196827292
L4,D2,0,0.15625,0.08203125,7.39,0.13559927591463414,0.042682926829268296,0.228515625,0.02573399432003498
L4,D2,1,0.03125,0.0703125,7.40,0.14850895579268292,0.10365853658536585,0.193359375,0.0108222346752882
L4,D2,2,0.0625,0.0703125,7.56,0.1823313643292683,0.3353658536585366,0.029296875,0.9660776853561401
L4,D3,0,0.05859375,0.059326171875,59.72,0.09382587418680297,0.10855018587360594,0.0791015625,0.9838660359382629
L4,D3,1,0.16796875,0.05419921875,59.68,0.19340366519516727,0.005947955390334572,0.380859375,0.05458720400929451
L4,D3,2,0.125,0.05078125,59.72,0.05599651123954461,0.02825278810408922,0.083740234375,0.9509376287460327
