capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds,acer_cross_domain,apcer_cross_domain,bpcer_cross_domain,threshold
L4,D1,0,0.25,0.15625,2.43,0.4296875,0.0,0.859375,3.204822851543554e-09
L4,D1,1,0.08333333333333333,0.28125,1.58,0.3125,0.421875,0.203125,0.9977153539657593
L4,D1,2,0.5,0.3828125,1.50,0.421875,0.03125,0.8125,0.9982843995094299
L4,D2,0,0.25,0.115234375,7.34,0.23046875,0.009765625,0.451171875,0.007325378712266684
L4,D2,1,0.1875,0.123046875,7.37,0.1181640625,0.166015625,0.0703125,0.06178341433405876
L4,D2,2,0.421875,0.189453125,7.32,0.1767578125,0.1484375,0.205078125,0.02981163002550602
L4,D3,0,0.041015625,0.018310546875,59.21,0.022705078125,0.033935546875,0.011474609375,0.9585148096084595
L4,D3,1,0.173828125,0.11181640625,58.83,0.1114501953125,0.118896484375,0.10400390625,0.49447959661483765
L4,D3,2,0.15234375,0.111328125,58.44,0.1358642578125,0.195068359375,0.07666015625,0.3067529797554016
